date,ticker,factor
2014-01-30,000631.SZ,801180.SI
2014-01-30,000632.SZ,801230.SI
2014-01-30,000635.SZ,801030.SI
2014-01-30,000636.SZ,801080.SI
2014-01-30,000637.SZ,801030.SI
2014-01-30,000638.SZ,801180.SI
2014-01-30,000639.SZ,801010.SI
2014-01-30,000650.SZ,801150.SI
2014-01-30,000651.SZ,801110.SI
2014-01-30,000652.SZ,801230.SI
2014-01-30,000655.SZ,801020.SI
2014-01-30,000656.SZ,801180.SI
2014-01-30,000657.SZ,801050.SI
2014-01-30,000659.SZ,801140.SI
2014-01-30,000661.SZ,801150.SI
2014-01-30,000662.SZ,801030.SI
2014-01-30,000663.SZ,801010.SI
2014-01-30,000667.SZ,801180.SI
2014-01-30,000668.SZ,801180.SI
2014-01-30,000669.SZ,801160.SI
2014-01-30,000670.SZ,801180.SI
2014-01-30,000671.SZ,801180.SI
2014-01-30,000677.SZ,801030.SI
2014-01-30,000679.SZ,801200.SI
2014-01-30,000681.SZ,801230.SI
2014-01-30,000683.SZ,801020.SI
2014-01-30,000685.SZ,801160.SI
2014-01-30,000687.SZ,801030.SI
2014-01-30,000688.SZ,801050.SI
2014-01-30,000690.SZ,801160.SI
2014-01-30,000691.SZ,801180.SI
2014-01-30,000692.SZ,801160.SI
2014-01-30,000693.SZ,801050.SI
2014-01-30,000695.SZ,801160.SI
2014-01-30,000697.SZ,801050.SI
2014-01-30,000698.SZ,801030.SI
2014-01-30,000701.SZ,801230.SI
2014-01-30,000702.SZ,801010.SI
2014-01-30,000703.SZ,801030.SI
2014-01-30,000705.SZ,801150.SI
2014-01-30,000707.SZ,801030.SI
2014-01-30,000708.SZ,801040.SI
2014-01-30,000709.SZ,801040.SI
2014-01-30,000711.SZ,801230.SI
2014-01-30,000712.SZ,801160.SI
2014-01-30,000713.SZ,801010.SI
2014-01-30,000715.SZ,801200.SI
2014-01-30,000716.SZ,801120.SI
2014-01-30,000717.SZ,801040.SI
2014-01-30,000718.SZ,801180.SI
2014-01-30,000720.SZ,801160.SI
2014-01-30,000721.SZ,801210.SI
2014-01-30,000722.SZ,801160.SI
2014-01-30,000723.SZ,801020.SI
2014-01-30,000725.SZ,801080.SI
2014-01-30,000726.SZ,801130.SI
2014-01-30,000727.SZ,801080.SI
2014-01-30,000729.SZ,801120.SI
2014-01-30,000731.SZ,801030.SI
2014-01-30,000732.SZ,801180.SI
2014-01-30,000733.SZ,801080.SI
2014-01-30,000735.SZ,801010.SI
2014-01-30,000736.SZ,801180.SI
2014-01-30,000737.SZ,801030.SI
2014-01-30,000739.SZ,801150.SI
2014-01-30,000752.SZ,801120.SI
2014-01-30,000753.SZ,801200.SI
2014-01-30,000755.SZ,801030.SI
2014-01-30,000756.SZ,801150.SI
2014-01-30,000758.SZ,801050.SI
2014-01-30,000759.SZ,801200.SI
2014-01-30,000761.SZ,801040.SI
2014-01-30,000762.SZ,801020.SI
2014-01-30,000766.SZ,801150.SI
