date,secID,factor
2014-01-30,000537.SZ,2753293409.97
2014-01-30,000538.SZ,63754490766.6
2014-01-30,000539.SZ,20169840979.6
2014-01-30,000540.SZ,6785505978.84
2014-01-30,000541.SZ,9296355577.5
2014-01-30,000543.SZ,7435409181.3
2014-01-30,000544.SZ,2756573743.77
2014-01-30,000545.SZ,2723176542.0
2014-01-30,000546.SZ,1025514197.95
2014-01-30,000547.SZ,3598325214.4
2014-01-30,000548.SZ,2311369204.93
2014-01-30,000550.SZ,21148743000.0
2014-01-30,000551.SZ,3692742138.15
2014-01-30,000552.SZ,6484399237.36
2014-01-30,000553.SZ,7133017872.2
2014-01-30,000554.SZ,2327039668.8
2014-01-30,000555.SZ,11879946085.7
2014-01-30,000557.SZ,4802937972.0
2014-01-30,000558.SZ,2243758174.0
2014-01-30,000559.SZ,10117223694.9
2014-01-30,000560.SZ,1399101049.92
2014-01-30,000561.SZ,3545275970.95
2014-01-30,000562.SZ,32653196489.0
2014-01-30,000563.SZ,8769898295.88
2014-01-30,000564.SZ,2106237661.3
2014-01-30,000565.SZ,1290370446.72
2014-01-30,000566.SZ,5511464121.24
2014-01-30,000567.SZ,1229256000.0
2014-01-30,000568.SZ,22950846012.1
2014-01-30,000570.SZ,3413155902.08
2014-01-30,000571.SZ,2701354880.0
2014-01-30,000572.SZ,6792348439.38
2014-01-30,000573.SZ,3232101584.76
2014-01-30,000576.SZ,4517185504.8
2014-01-30,000581.SZ,27708658942.7
2014-01-30,000582.SZ,8662676898.78
2014-01-30,000584.SZ,4473178849.42
2014-01-30,000585.SZ,1938881400.0
2014-01-30,000586.SZ,1160640000.0
2014-01-30,000587.SZ,6975326869.68
2014-01-30,000589.SZ,2410298218.72
2014-01-30,000590.SZ,2914473034.35
2014-01-30,000591.SZ,2139375357.57
2014-01-30,000592.SZ,5889478886.3
2014-01-30,000593.SZ,1732829850.38
2014-01-30,000594.SZ,3032356940.76
2014-01-30,000595.SZ,1263270000.0
2014-01-30,000596.SZ,11900068000.0
2014-01-30,000597.SZ,2353360485.9
2014-01-30,000598.SZ,14990817382.0
2014-01-30,000599.SZ,2178038183.7
2014-01-30,000600.SZ,4495207795.32
2014-01-30,000601.SZ,5283897661.41
2014-01-30,000603.SZ,6014415023.97
2014-01-30,000605.SZ,1596012000.0
2014-01-30,000606.SZ,2865729552.0
2014-01-30,000607.SZ,2072860978.75
2014-01-30,000608.SZ,3674575214.1
2014-01-30,000609.SZ,2414573728.2
2014-01-30,000610.SZ,1257219087.39
2014-01-30,000611.SZ,1483599521.42
2014-01-30,000612.SZ,6324275901.54
2014-01-30,000613.SZ,1813218000.0
2014-01-30,000615.SZ,1433055429.32
2014-01-30,000616.SZ,4319307963.5
2014-01-30,000617.SZ,2073157632.0
2014-01-30,000619.SZ,2433600000.0
2014-01-30,000620.SZ,12623968127.1
2014-01-30,000622.SZ,1573336200.0
2014-01-30,000623.SZ,15026565674.4
2014-01-30,000625.SZ,50405798827.5
2014-01-30,000626.SZ,1466100000.0
2014-01-30,000627.SZ,3262151577.06
2014-01-30,000628.SZ,1330048800.0
2014-01-30,000629.SZ,16492312707.8
2014-01-30,000630.SZ,12723380027.6
2014-01-30,000631.SZ,4432961352.72
2014-01-30,000632.SZ,1983113368.2
2014-01-30,000633.SZ,2102680796.58
2014-01-30,000635.SZ,2667170897.6
2014-01-30,000636.SZ,3743992020.96
2014-01-30,000637.SZ,2422619158.96
2014-01-30,000638.SZ,1302574000.0
2014-01-30,000639.SZ,3177006209.58
2014-01-30,000650.SZ,5052427511.1
2014-01-30,000651.SZ,85303063850.0
