date,ticker,factor
2014-01-30,000534.SZ,-2.80373831776
2014-01-30,000536.SZ,-11.1522786217
2014-01-30,000537.SZ,-5.78947368421
2014-01-30,000538.SZ,-9.96176095696
2014-01-30,000539.SZ,-2.94736842105
2014-01-30,000540.SZ,-9.13793103448
2014-01-30,000541.SZ,37.8809869376
2014-01-30,000543.SZ,-1.12044817927
2014-01-30,000544.SZ,-8.0035971223
2014-01-30,000545.SZ,-5.12820512821
2014-01-30,000546.SZ,-0.16501650165
2014-01-30,000547.SZ,8.02005012531
2014-01-30,000548.SZ,-11.3026819923
2014-01-30,000550.SZ,-3.58126721763
2014-01-30,000551.SZ,-1.59914712154
2014-01-30,000552.SZ,-9.98003992016
2014-01-30,000553.SZ,4.89082969432
2014-01-30,000554.SZ,-2.02429149798
2014-01-30,000555.SZ,8.29402515723
2014-01-30,000557.SZ,0.0
2014-01-30,000558.SZ,3.48837209302
2014-01-30,000559.SZ,19.5856873823
2014-01-30,000560.SZ,1.61892901619
2014-01-30,000561.SZ,1.7094017094
2014-01-30,000562.SZ,0.0
2014-01-30,000563.SZ,-9.29648241206
2014-01-30,000564.SZ,-2.1978021978
2014-01-30,000565.SZ,-3.37662337662
2014-01-30,000566.SZ,-0.447227191413
2014-01-30,000567.SZ,7.11462450593
2014-01-30,000568.SZ,-18.7189672294
2014-01-30,000570.SZ,-5.73643410853
2014-01-30,000571.SZ,-4.17754569191
2014-01-30,000572.SZ,8.68421052632
2014-01-30,000573.SZ,0.0
2014-01-30,000576.SZ,6.80628272251
2014-01-30,000581.SZ,-11.8181818182
2014-01-30,000582.SZ,-7.54884547069
2014-01-30,000584.SZ,11.9754350051
2014-01-30,000585.SZ,-3.8961038961
2014-01-30,000586.SZ,-0.332225913621
2014-01-30,000587.SZ,0.0
2014-01-30,000589.SZ,-4.64216634429
2014-01-30,000590.SZ,-6.65236051502
2014-01-30,000591.SZ,-5.11571254568
2014-01-30,000592.SZ,-14.4088669951
2014-01-30,000593.SZ,-7.05705705706
2014-01-30,000594.SZ,21.5568862275
2014-01-30,000595.SZ,-3.59168241966
2014-01-30,000596.SZ,5.39696699376
2014-01-30,000597.SZ,1.58501440922
2014-01-30,000598.SZ,-12.8472222222
2014-01-30,000599.SZ,3.49127182045
2014-01-30,000600.SZ,10.067114094
2014-01-30,000601.SZ,9.39597315436
2014-01-30,000603.SZ,-7.60279286268
2014-01-30,000605.SZ,8.62944162437
2014-01-30,000606.SZ,-10.2071005917
2014-01-30,000607.SZ,0.0
2014-01-30,000608.SZ,-4.66926070039
2014-01-30,000609.SZ,15.0568181818
2014-01-30,000610.SZ,-2.4427480916
2014-01-30,000611.SZ,6.46651270208
2014-01-30,000612.SZ,-7.20411663808
2014-01-30,000613.SZ,6.41025641026
2014-01-30,000615.SZ,2.73141122914
2014-01-30,000616.SZ,-13.2183908046
2014-01-30,000617.SZ,0.980392156863
2014-01-30,000619.SZ,-7.14285714286
2014-01-30,000620.SZ,43.6363636364
2014-01-30,000622.SZ,-4.63917525773
2014-01-30,000623.SZ,-5.40540540541
2014-01-30,000625.SZ,-5.58951965066
2014-01-30,000626.SZ,-6.21761658031
2014-01-30,000627.SZ,-8.01526717557
2014-01-30,000628.SZ,-7.48091603053
2014-01-30,000629.SZ,-10.2803738318
2014-01-30,000630.SZ,-10.6786427146
2014-01-30,000631.SZ,-3.85487528345
2014-01-30,000632.SZ,-5.12249443207
2014-01-30,000633.SZ,7.48031496063
2014-01-30,000635.SZ,-8.80829015544
2014-01-30,000636.SZ,0.0
2014-01-30,000637.SZ,-0.639658848614
2014-01-30,000638.SZ,-1.17370892019
2014-01-30,000639.SZ,-3.6
2014-01-30,000650.SZ,-5.73012939002
2014-01-30,000651.SZ,-13.1659522352
2014-01-30,000652.SZ,-5.21739130435
2014-01-30,000655.SZ,-10.1986754967
2014-01-30,000656.SZ,5.81683168317
2014-01-30,000657.SZ,-15.6327543424
2014-01-30,000659.SZ,-14.3884892086
2014-01-30,000661.SZ,11.7755289788
2014-01-30,000662.SZ,-3.22003577818
2014-01-30,000663.SZ,-6.25543006082
2014-01-30,000665.SZ,10.1369863014
2014-01-30,000666.SZ,0.0
2014-01-30,000667.SZ,-2.1978021978
2014-01-30,000668.SZ,0.0
2014-01-30,000669.SZ,-3.13915857605
2014-01-30,000670.SZ,0.0
2014-01-30,000671.SZ,-2.691065662
